SRC DEST FILE SIZE(MB) TOTAL(S) UTIME(S) STIME(S)
1/ /global/cscratch1/sd/lpottier/workflow-io-bb/real-workflows/swarp/swarp-debug-16C-50B-1_4W-0F-16-12/swarp-run-1N-0F.NjcpL1/swarp-scaling.batch.16c.0f.26813106//2/1/ 1/output.resample.26813106.1 0.0 0.0067209999999999995 0.0 0.0067209999999999995
1/ /global/cscratch1/sd/lpottier/workflow-io-bb/real-workflows/swarp/swarp-debug-16C-50B-1_4W-0F-16-12/swarp-run-1N-0F.NjcpL1/swarp-scaling.batch.16c.0f.26813106//2/1/ 1/error.resample.26813106.1 0.0 0.004029999999999999 0.0 0.004029999999999999
1/ /global/cscratch1/sd/lpottier/workflow-io-bb/real-workflows/swarp/swarp-debug-16C-50B-1_4W-0F-16-12/swarp-run-1N-0F.NjcpL1/swarp-scaling.batch.16c.0f.26813106//2/1/ 1/resample.xml 0.023351669311523438 0.004234000000000002 0.0 0.004234000000000002
1/ /global/cscratch1/sd/lpottier/workflow-io-bb/real-workflows/swarp/swarp-debug-16C-50B-1_4W-0F-16-12/swarp-run-1N-0F.NjcpL1/swarp-scaling.batch.16c.0f.26813106//2/1/ 1/stat.resample.26813106.1.xml 0.46970462799072266 0.0047129999999999984 0.0 0.0047129999999999984
1/ /global/cscratch1/sd/lpottier/workflow-io-bb/real-workflows/swarp/swarp-debug-16C-50B-1_4W-0F-16-12/swarp-run-1N-0F.NjcpL1/swarp-scaling.batch.16c.0f.26813106//2/1/ 1/output.combine.26813106.1 0.0 0.0037620000000000015 0.0 0.0037620000000000015
1/ /global/cscratch1/sd/lpottier/workflow-io-bb/real-workflows/swarp/swarp-debug-16C-50B-1_4W-0F-16-12/swarp-run-1N-0F.NjcpL1/swarp-scaling.batch.16c.0f.26813106//2/1/ 1/error.combine.26813106.1 0.0 0.003760999999999997 0.0 0.003760999999999997
1/ /global/cscratch1/sd/lpottier/workflow-io-bb/real-workflows/swarp/swarp-debug-16C-50B-1_4W-0F-16-12/swarp-run-1N-0F.NjcpL1/swarp-scaling.batch.16c.0f.26813106//2/1/ 1/coadd.fits 49.4439697265625 0.041538 0.0 0.041538
1/ /global/cscratch1/sd/lpottier/workflow-io-bb/real-workflows/swarp/swarp-debug-16C-50B-1_4W-0F-16-12/swarp-run-1N-0F.NjcpL1/swarp-scaling.batch.16c.0f.26813106//2/1/ 1/coadd.weight.fits 49.4439697265625 0.040801000000000004 0.0 0.040801000000000004
1/ /global/cscratch1/sd/lpottier/workflow-io-bb/real-workflows/swarp/swarp-debug-16C-50B-1_4W-0F-16-12/swarp-run-1N-0F.NjcpL1/swarp-scaling.batch.16c.0f.26813106//2/1/ 1/combine.xml 0.024936676025390625 0.005278999999999992 0.0 0.005278999999999992
1/ /global/cscratch1/sd/lpottier/workflow-io-bb/real-workflows/swarp/swarp-debug-16C-50B-1_4W-0F-16-12/swarp-run-1N-0F.NjcpL1/swarp-scaling.batch.16c.0f.26813106//2/1/ 1/stat.combine.xml.26813106.1 0.04501819610595703 0.004046 0.004046 0.0
