SRC DEST FILE SIZE(MB) TOTAL(S) UTIME(S) STIME(S)
4/ /global/cscratch1/sd/lpottier/workflow-io-bb/real-workflows/swarp/swarp-debug-16C-50B-1_4W-0F-16-12/swarp-run-4N-0F.jea2ch/swarp-scaling.batch.16c.0f.26813109//1/4/ 4/output.resample.26813109.4 0.0 0.006646999999999998 0.0 0.006646999999999998
4/ /global/cscratch1/sd/lpottier/workflow-io-bb/real-workflows/swarp/swarp-debug-16C-50B-1_4W-0F-16-12/swarp-run-4N-0F.jea2ch/swarp-scaling.batch.16c.0f.26813109//1/4/ 4/error.resample.26813109.4 0.0 0.005380000000000001 0.0026899999999999997 0.0026900000000000014
4/ /global/cscratch1/sd/lpottier/workflow-io-bb/real-workflows/swarp/swarp-debug-16C-50B-1_4W-0F-16-12/swarp-run-4N-0F.jea2ch/swarp-scaling.batch.16c.0f.26813109//1/4/ 4/resample.xml 0.023351669311523438 0.005455 0.005455 0.0
4/ /global/cscratch1/sd/lpottier/workflow-io-bb/real-workflows/swarp/swarp-debug-16C-50B-1_4W-0F-16-12/swarp-run-4N-0F.jea2ch/swarp-scaling.batch.16c.0f.26813109//1/4/ 4/stat.resample.26813109.4.xml 0.9627180099487305 0.006326 0.0 0.006326
4/ /global/cscratch1/sd/lpottier/workflow-io-bb/real-workflows/swarp/swarp-debug-16C-50B-1_4W-0F-16-12/swarp-run-4N-0F.jea2ch/swarp-scaling.batch.16c.0f.26813109//1/4/ 4/output.combine.26813109.4 0.0 0.005034999999999998 0.0 0.005034999999999998
4/ /global/cscratch1/sd/lpottier/workflow-io-bb/real-workflows/swarp/swarp-debug-16C-50B-1_4W-0F-16-12/swarp-run-4N-0F.jea2ch/swarp-scaling.batch.16c.0f.26813109//1/4/ 4/error.combine.26813109.4 0.0 0.005652000000000001 0.0 0.005652000000000001
4/ /global/cscratch1/sd/lpottier/workflow-io-bb/real-workflows/swarp/swarp-debug-16C-50B-1_4W-0F-16-12/swarp-run-4N-0F.jea2ch/swarp-scaling.batch.16c.0f.26813109//1/4/ 4/coadd.fits 49.4439697265625 0.048105 0.0 0.048105
4/ /global/cscratch1/sd/lpottier/workflow-io-bb/real-workflows/swarp/swarp-debug-16C-50B-1_4W-0F-16-12/swarp-run-4N-0F.jea2ch/swarp-scaling.batch.16c.0f.26813109//1/4/ 4/coadd.weight.fits 49.4439697265625 0.04386499999999999 0.0 0.04386499999999999
4/ /global/cscratch1/sd/lpottier/workflow-io-bb/real-workflows/swarp/swarp-debug-16C-50B-1_4W-0F-16-12/swarp-run-4N-0F.jea2ch/swarp-scaling.batch.16c.0f.26813109//1/4/ 4/combine.xml 0.024936676025390625 0.005867000000000001 0.005867000000000001 0.0
4/ /global/cscratch1/sd/lpottier/workflow-io-bb/real-workflows/swarp/swarp-debug-16C-50B-1_4W-0F-16-12/swarp-run-4N-0F.jea2ch/swarp-scaling.batch.16c.0f.26813109//1/4/ 4/stat.combine.xml.26813109.4 0.16631031036376953 0.005322000000000007 0.0 0.005322000000000007
