id,type,pop,read,write,makespan,iowait
1,BB,chr21,875223317,85137399,152.57,0.014
2,BB,chr21,715332183,84274322,153.58775,0.014
3,BB,chr21,1277887607,85139289,166.47725,0.023
4,BB,chr21,1034634719,85138730,163.76975,0.020
5,BB,chr21,791249391,84958116,157.615,0.016
6,BB,chr21,837218919,84298374,152.11,0.014
7,BB,chr21,786813424,85091723,148.660,0.011
8,BB,chr21,950743245,85132014,161.45625,0.019
9,BB,chr21,1361761218,85135709,167.15025,0.015
10,BB,chr21,1193966340,85132503,145.02975,0.010
11,BB,chr22,714589136,84037223,144.5535,0.010
12,BB,chr22,1033866901,84893607,158.177,0.016
13,BB,chr22,874480555,84893121,154.679,0.015
14,BB,chr22,949982524,84893966,156.137,0.016
15,BB,chr22,790490641,84717883,153.022,0.013
16,BB,chr22,1117753752,84893712,164.326,0.010
17,BB,chr22,1307681233,84683922,168.932,0.021
18,BB,chr22,1444913634,84874003,167.15025,0.027
19,BB,chr22,1193274524,84895411,168.615,0.022
20,BB,chr22,1297234567,84319487,166.028,0.020
1,No-BB,chr21,875223317,85137399,266.540,0.711
2,No-BB,chr21,715332183,84274322,261.894,0.832
3,No-BB,chr21,1277887607,85139289,288.153,0.642
4,No-BB,chr21,1034634719,85138730,287.863,0.611
5,No-BB,chr21,791249391,84958116,259.680,0.576
6,No-BB,chr21,837218919,84298374,264.673,1.017
7,No-BB,chr21,786813424,85091723,263.998,0.864
8,No-BB,chr21,950743245,85132014,285.672,1.118
9,No-BB,chr21,1361761218,85135709,293.277,0.923
10,No-BB,chr21,1193966340,85132503,289.857,0.847
11,No-BB,chr22,714589136,84037223,263.937,0.422
12,No-BB,chr22,1033866901,84893607,287.573,0.991
13,No-BB,chr22,874480555,84893121,279.551,0.887
14,No-BB,chr22,949982524,84893966,286.884,1.014
15,No-BB,chr22,790490641,84717883,265.132,1.014
16,No-BB,chr22,1117753752,84893712,288.477,1.008
17,No-BB,chr22,1307681233,84683922,285.089,1.193
18,No-BB,chr22,1444913634,84874003,290.406,1.202
19,No-BB,chr22,1193274524,84895411,288.781,1.014
20,No-BB,chr22,1297234567,84319487,285.989,1.014
